Seed, MSE, RMSE, MAE, sMAPE, Trained Model Filename
387651,0.004204305820167065,0.0582733191549778,0.04935994744300842,0.13624069094657898,tsrnn48_dyt_387651.smd
615063,0.004711811430752277,0.06123800203204155,0.05191274732351303,0.18359525501728058,tsrnn48_aep_615063.smd
527733,0.00982892606407404,0.0782209187746048,0.06663352251052856,0.16307148337364197,tsrnn24_ree_527733.smd
79864,0.0033343404065817595,0.050086334347724915,0.043103210628032684,0.15050075948238373,tsrnn24_aep_79864.smd
897146,0.002670272486284375,0.04496464505791664,0.038547784090042114,0.10752404481172562,tsrnn24_dyt_897146.smd
391023,0.0033410764299333096,0.05007905513048172,0.042909927666187286,0.148659348487854,tsrnn24_aep_391023.smd
652558,0.007861022837460041,0.07949873805046082,0.06751733273267746,0.23512259125709534,tsrnn84_aep_652558.smd
60635,0.009026114828884602,0.07429781556129456,0.06294170767068863,0.15351024270057678,tsrnn24_ree_60635.smd
387471,0.010662014596164227,0.09270750731229782,0.07610339671373367,0.18245729804039001,tsrnn84_ree_387471.smd
790450,0.0032782317139208317,0.04972591623663902,0.042637795209884644,0.11660293489694595,tsrnn24_dyt_790450.smd
708042,0.00501569639891386,0.06418208032846451,0.053677190095186234,0.14753536880016327,tsrnn84_dyt_708042.smd
